非车辆原因故障
,车辆编组违反编组规定
,车辆搭载异物
,非车辆原因其他故障
故障
,车体
,,地板
,,,上拉杆拉铆销折断
,,,上拉杆圆销丢失
,,,上拉杆圆销折断
,,,水平杠杆拉铆销丢失
,,,水平杠杆拉铆销套环丢失
,,,水平杠杆拉铆销折断
,,,水平杠杆圆销丢失
,,,水平杠杆圆销折断
,,,下拉杆拉铆销丢失
,,,下拉杆拉铆销套环丢失
,,,下拉杆拉铆销折断
,,,下拉杆圆销丢失
,,,下拉杆圆销折断
,,,圆销其他故障
,,,闸调器控制杠杆拉铆销丢失
,,,闸调器控制杠杆拉铆销套环丢失
,,,闸调器控制杠杆拉铆销折断
,,,闸调器控制杠杆圆销丢失
,,,闸调器控制杠杆圆销折断
,,,闸调器连接杆拉铆销丢失
,,,闸调器连接杆拉铆销套环丢失
,,,闸调器连接杆拉铆销折断
,,,闸调器连接杆圆销丢失
,,,闸调器连接杆圆销折断
,,,闸瓦托吊圆销丢失
,,,闸瓦托吊圆销折断
,,,制动缸杠杆拉铆销丢失
,,,制动缸杠杆拉铆销套环丢失
,,,制动缸杠杆拉铆销折断
,,,制动缸杠杆圆销丢失
,,,制动缸杠杆圆销折断
,,,制动缸活塞推杆拉铆销丢失
,,,制动缸活塞推杆拉铆销套环丢失
,,,制动缸活塞推杆拉铆销折断
,,,制动缸活塞推杆圆销丢失
,,,制动缸活塞推杆圆销折断
,,,制动梁支柱拉铆销丢失
,,,制动梁支柱拉铆销套环丢失
,,,制动梁支柱拉铆销折断
,,,制动梁支柱圆销丢失
,,,制动梁支柱圆销折断
,,,中拉杆拉铆销丢失
,,,中拉杆拉铆销套环丢失
,,,中拉杆拉铆销折断
,,,中拉杆圆销丢失
,,,中拉杆圆销折断
,,开口销
,,,附加杠杆圆销开口销丢失
,,,附加杠杆圆销开口销未劈
,,,附加杠杆圆销开口销折断
,,,固定支点圆销开口销丢失
,,,固定支点圆销开口销未劈
,,,固定支点圆销开口销折断
,,,固定支点座圆销开口销丢失
,,,固定支点座圆销开口销未劈
,,,固定支点座圆销开口销折断
,,,开口销其他故障
,,,上拉杆圆销开口销丢失
,,,上拉杆圆销开口销未劈
,,,上拉杆圆销开口销折断
,,,下拉杆圆销开口销丢失
,,,下拉杆圆销开口销未劈
,,,下拉杆圆销开口销折断
,,,闸调器控制杠杆圆销开口销丢失
,,,闸调器控制杠杆圆销开口销未劈
,,,闸调器控制杠杆圆销开口销折断
,,,闸调器连接杆圆销开口销丢失
,,,闸调器连接杆圆销开口销未劈
,,,闸调器连接杆圆销开口销折断
,,,闸瓦托吊开口销丢失
,,,闸瓦托吊开口销未劈
,,,闸瓦托吊开口销折断
,,,制动缸活塞推杆圆销开口销丢失
,,,制动缸活塞推杆圆销开口销未劈
,,,制动缸活塞推杆圆销开口销折断
,,,制动梁滚子轴开口销丢失
,,,制动梁滚子轴开口销未劈
,,,制动梁滚子轴开口销折断
,,,制动梁支柱圆销开口销丢失
,,,制动梁支柱圆销开口销未劈
,,,制动梁支柱圆销开口销折断
,,,中拉杆圆销开口销丢失
,,,中拉杆圆销开口销未劈
,,,中拉杆圆销开口销折断
,,闸调器
,,,闸调器丢失
,,,闸调器连接螺母丢失
,,,闸调器破损
,,,闸调器其他故障
,,人力制动机
,,,人力制动机紧固
,,,人力制动机拉杆吊架丢失
,,,人力制动机拉杆吊架破损
